tweet_id,time_created,tweet_length,source,retweet_count,favorite_count,timestamp,rating_numerator,rating_denominator,name,dog_stage,breed,confidence
892420643555336193,Tue Aug 01 16:23:56 +0000 2017,85,Twitter for iPhone,6973,33691,2017-08-01 16:23:56+00:00,13,10,Phineas,None,Welsh_springer_spaniel,0.465074
892177421306343426,Tue Aug 01 00:17:27 +0000 2017,138,Twitter for iPhone,5276,29217,2017-08-01 00:17:27+00:00,13,10,Tilly,None,redbone,0.506826
891815181378084864,Mon Jul 31 00:18:03 +0000 2017,121,Twitter for iPhone,3465,21979,2017-07-31 00:18:03+00:00,12,10,Archie,None,German_shepherd,0.596461
891689557279858688,Sun Jul 30 15:58:51 +0000 2017,79,Twitter for iPhone,7185,36766,2017-07-30 15:58:51+00:00,13,10,Darla,None,Rhodesian_ridgeback,0.408143
891327558926688256,Sat Jul 29 16:00:24 +0000 2017,138,Twitter for iPhone,7721,35152,2017-07-29 16:00:24+00:00,12,10,Franklin,None,miniature_pinscher,0.560311
891087950875897856,Sat Jul 29 00:08:17 +0000 2017,138,Twitter for iPhone,2584,17734,2017-07-29 00:08:17+00:00,13,10,None,None,Bernese_mountain_dog,0.651137
890971913173991426,Fri Jul 28 16:27:12 +0000 2017,140,Twitter for iPhone,1648,10322,2017-07-28 16:27:12+00:00,13,10,Jax,None,none,0.0
890729181411237888,Fri Jul 28 00:22:40 +0000 2017,118,Twitter for iPhone,15687,56622,2017-07-28 00:22:40+00:00,13,10,None,None,chow,0.692517
890609185150312448,Thu Jul 27 16:25:51 +0000 2017,122,Twitter for iPhone,3605,24424,2017-07-27 16:25:51+00:00,13,10,Zoey,None,golden_retriever,0.00795896
890240255349198849,Wed Jul 26 15:59:51 +0000 2017,133,Twitter for iPhone,6074,27839,2017-07-26 15:59:51+00:00,14,10,Cassie,doggo,miniature_poodle,0.201493
890006608113172480,Wed Jul 26 00:31:25 +0000 2017,130,Twitter for iPhone,6115,26941,2017-07-26 00:31:25+00:00,13,10,Koda,None,golden_retriever,0.77593
889880896479866881,Tue Jul 25 16:11:53 +0000 2017,107,Twitter for iPhone,4141,24482,2017-07-25 16:11:53+00:00,13,10,Bruno,None,Gordon_setter,0.503672
889665388333682689,Tue Jul 25 01:55:32 +0000 2017,106,Twitter for iPhone,8305,41857,2017-07-25 01:55:32+00:00,13,10,None,puppo,Walker_hound,0.260857
889638837579907072,Tue Jul 25 00:10:02 +0000 2017,91,Twitter for iPhone,3700,23562,2017-07-25 00:10:02+00:00,12,10,Ted,None,pug,0.489814
889531135344209921,Mon Jul 24 17:02:04 +0000 2017,118,Twitter for iPhone,1874,13302,2017-07-24 17:02:04+00:00,13,10,Stuart,puppo,bloodhound,0.195217
889278841981685760,Mon Jul 24 00:19:32 +0000 2017,138,Twitter for iPhone,4421,22001,2017-07-24 00:19:32+00:00,13,10,Oliver,None,Lhasa,0.58233
888917238123831296,Sun Jul 23 00:22:39 +0000 2017,86,Twitter for iPhone,3744,25508,2017-07-23 00:22:39+00:00,12,10,Jim,None,English_setter,0.298617
888804989199671297,Sat Jul 22 16:56:37 +0000 2017,128,Twitter for iPhone,3516,22378,2017-07-22 16:56:37+00:00,13,10,Zeke,None,none,0.0
888554962724278272,Sat Jul 22 00:23:06 +0000 2017,87,Twitter for iPhone,2864,17243,2017-07-22 00:23:06+00:00,13,10,Ralphus,None,none,0.0
888078434458587136,Wed Jul 19 16:06:48 +0000 2017,127,Twitter for iPhone,4519,26514,2017-07-19 16:06:48+00:00,12,10,Gerald,None,Maltese_dog,0.8575309999999999
887705289381826560,Wed Jul 19 03:39:09 +0000 2017,108,Twitter for iPhone,9812,40553,2017-07-19 03:39:09+00:00,13,10,Jeffrey,None,none,0.0
